nom_norm,code_postal,code_insee,lat,lon,population,dept,nom
POUCHERGUES,65240,65003,42.79730,0.38940,0,65,Pouchergues
POUILLY LE MONIAL,69640,69114,45.96280,4.65090,0,69,Pouilly-le-Monial
POULDOURAN,22450,22264,48.73040,-3.23000,0,22,Pouldouran
POUSSY LA CAMPAGNE,14540,14005,49.08640,-0.19050,0,14,Poussy-la-Campagne
POUZIOUX,86300,86070,46.55280,0.67140,0,86,Pouzioux
PRADELLES EN VAL,11220,11251,43.12830,2.54980,0,11,Pradelles-en-Val
PRAILLES,79800,79217,46.31640,-0.17030,0,79,Prailles
PRANGEY,52600,52529,47.74350,5.31960,0,52,Prangey
PRATZ,39170,39286,46.38990,5.77760,0,39,Pratz
PRAUTHOY,52190,52405,47.66420,5.28760,0,52,Prauthoy
PRE EN PAIL,53140,53185,48.45290,-0.19930,0,53,Pré-en-Pail
PREAUX DU PERCHE,61340,61309,48.35850,0.69580,0,61,Préaux-du-Perche
PREAUX SAINT SEBASTIEN,14290,14371,49.00140,0.22310,0,14,Préaux-Saint-Sébastien
PRECORBIN,50810,50492,49.09340,-0.95510,0,50,Précorbin
PREMIERES,21110,21183,47.23030,5.29150,0,21,Premières
PRENOUVELLON,41240,41173,47.93600,1.46050,0,41,Prénouvellon
PRENOVEL,39200,39130,46.50500,5.86890,0,39,Prénovel
PREPOTIN,61190,61491,48.60650,0.63210,0,61,Prépotin
PRESSIAT,01370,01426,46.28160,5.35370,0,01,Pressiat
PRETOT SAINTE SUZANNE,50250,50273,49.30530,-1.44170,0,50,Prétot-Sainte-Suzanne
PREZ SUR MARNE,52170,52265,48.54790,5.06500,0,52,Prez-sur-Marne
PRIAIRES,79360,79334,46.16240,-0.58260,0,79,Priaires
PRIMAT,08250,08333,49.35680,4.78450,0,08,Primat
PRINSUEJOLS,48270,48087,44.67870,3.15650,0,48,Prinsuéjols
PROUAIS,28410,28056,48.73630,1.56740,0,28,Prouais
PROUSSY,14770,14174,48.88520,-0.57790,0,14,Proussy
PROVEMONT,27150,27153,49.27990,1.64570,0,27,Provemont
PROVENCHERES SUR FAVE,88490,88361,48.32120,7.09840,0,88,Provenchères-sur-Fave
PROVENCHERES SUR MARNE,52320,52211,48.29820,5.13430,0,52,Provenchères-sur-Marne
PROVENCHERES SUR MEUSE,52240,52332,47.99750,5.53870,0,52,Provenchères-sur-Meuse
PRUILLE,49770,49200,47.55230,-0.67970,0,49,Pruillé
PRUNOY,89120,89086,47.87860,3.10730,0,89,Prunoy
PUELLEMONTIER,52220,52411,48.47020,4.70620,0,52,Puellemontier
PUGNY,79380,79179,46.70970,-0.59270,0,79,Pugny
PUSSY,73260,73187,45.52610,6.46660,0,73,Pussy
PUTANGES PONT ECREPIN,61210,61339,48.77110,-0.28890,0,61,Putanges-Pont-Écrepin
PUTOT EN BESSIN,14740,14098,49.19630,-0.53980,0,14,Putot-en-Bessin
PUYMANGOU,24410,24376,45.18170,0.11440,0,24,Puymangou
PUYRENIER,24340,24253,45.44760,0.51070,0,24,Puyrenier
QUELNEUC,56910,56033,47.82390,-2.12270,0,56,Quelneuc
QUERQUEVILLE,50470,50129,49.62770,-1.63560,0,50,Querqueville
QUERRE,49330,49080,47.69700,-0.54990,0,49,Querré
QUESSIGNY,27220,27277,48.94250,1.26540,0,27,Quessigny
QUESSY,02700,02738,49.65620,3.29490,0,02,Quessy
QUETTETOT,50260,50082,49.46210,-1.66280,0,50,Quettetot
QUILY,56800,56197,47.86940,-2.42500,0,56,Quily
