nom_norm,code_postal,code_insee,lat,lon,population,dept
BRECHAMPS,28210,28058,48.67130,1.51930,362,28
BRECHAUMONT,68210,68050,47.66370,7.05850,407,68
BRECHES,37330,37037,47.56060,0.40900,239,37
BRECONCHAUX,25640,25088,47.34200,6.27260,85,25
BRECY,02210,02119,49.14020,3.42630,317,02
BRECY,18220,18035,47.12920,2.63160,927,18
BRECY BRIERES,08400,08082,49.33580,4.75850,73,08
BREE,53150,53043,48.15700,-0.51940,591,53
BREGNIER CORDON,01300,01058,45.64060,5.61740,804,01
BREGY,60440,60101,49.08890,2.87510,627,60
BREHAIN,57340,57107,48.90730,6.54310,97,57
BREHAIN LA VILLE,54190,54096,49.43780,5.88530,463,54
BREHAL,50290,50076,48.89790,-1.52780,3487,50
BREHAN,56580,56024,48.07050,-2.69400,2306,56
BREHAND,22510,22015,48.39540,-2.58990,1684,22
BREHEMONT,37130,37038,47.28860,0.35900,737,37
BREHEVILLE,55150,55076,49.38280,5.33060,187,55
BREIDENBACH,57720,57108,49.13250,7.41660,309,57
BREIL SUR ROYA,06540,06023,43.93790,7.49960,2377,06
BREILLY,80470,80137,49.92710,2.16530,707,80
BREISTROFF LA GRANDE,57570,57109,49.45410,6.22430,876,57
BREITENAU,67220,67062,48.31480,7.27730,341,67
BREITENBACH,67220,67063,48.37360,7.28950,686,67
BREITENBACH HAUT RHIN,68380,68051,48.01440,7.10580,819,68
BRELES,29810,29017,48.47300,-4.68770,868,29
BRELIDY,22140,22018,48.65040,-3.22770,334,22
BREM SUR MER,85470,85243,46.60850,-1.80810,2993,85
BREMENIL,54540,54097,48.52220,6.91600,92,54
BREMES,62610,62174,50.84690,1.95600,1324,62
BREMONCOURT,54290,54098,48.49210,6.36140,166,54
BREMONDANS,25530,25089,47.23160,6.39830,107,25
BREMONTIER MERVAL,76220,76142,49.51410,1.61950,425,76
BREMOY,14260,14096,48.99970,-0.77950,262,14
BREMUR ET VAUROIS,21400,21104,47.73000,4.60860,45,21
BREN,26260,26061,45.14240,4.94070,709,26
BRENAS,34650,34040,43.64020,3.25210,58,34
BRENAT,63500,63051,45.54900,3.31080,629,63
BRENELLE,02220,02120,49.36940,3.54590,193,02
BRENGUES,46320,46039,44.58000,1.82960,195,46
BRENNES,52200,52070,47.79790,5.27730,129,52
BRENNILIS,29690,29018,48.36350,-3.84380,454,29
BRENOD,01110,01060,46.07910,5.61160,576,01
BRENON,83840,83022,43.76910,6.53650,24,83
BRENOUILLE,60870,60102,49.30730,2.55060,2105,60
BRENOUX,48000,48030,44.48720,3.53320,384,48
BRENS,01300,01061,45.71630,5.69000,1123,01
BRENS,81600,81038,43.88960,1.92630,2423,81
BRENTHONNE,74890,74048,46.27140,6.39620,1128,74
BRENY,02210,02121,49.18260,3.35130,210,02
BRERES,25440,25090,47.05830,5.86460,78,25
BRESDON,17490,17062,45.86650,-0.14310,231,17
BRESILLEY,70140,70092,47.26310,5.63260,189,70
BRESLE,80300,80138,49.98890,2.54910,120,80
BRESLES,60510,60103,49.41240,2.24630,4029,60
BRESNAY,03210,03039,46.43350,3.25580,386,03
BRESSE SUR GROSNE,71460,71058,46.59440,4.73190,184,71
BRESSE VALLONS,01340,01130,46.32710,5.18220,2388,01
BRESSEY SUR TILLE,21560,21105,47.30820,5.18270,1096,21
BRESSIEUX,38870,38056,45.32170,5.27850,93,38
BRESSOLLES,01360,01062,45.87140,5.09840,1028,01
BRESSOLLES,03000,03040,46.52960,3.28790,1143,03
BRESSOLS,82710,82025,43.95230,1.31700,4036,82
BRESSON,38320,38057,45.13300,5.74980,663,38
BRESSUIRE,79300,79049,46.86540,-0.47330,19970,79
BREST,29200,29019,48.40850,-4.49960,142346,29
BRESTOT,27350,27110,49.33960,0.68150,628,27
BRETAGNE,36110,36024,46.99950,1.69890,125,36
BRETAGNE,90130,90019,47.59090,6.99720,319,90
BRETAGNE D ARMAGNAC,32800,32064,43.88960,0.13270,408,32
BRETAGNE DE MARSAN,40280,40055,43.83590,-0.46550,1618,40
BRETAGNOLLES,27220,27111,48.94670,1.34270,203,27
BRETEAU,45250,45052,47.67740,2.89020,90,45
BRETEIL,35160,35040,48.13760,-1.91330,3675,35
BRETENIERE,21110,21106,47.23740,5.10160,959,21
BRETENIERES,39120,39077,46.92130,5.53970,44,39
BRETENOUX,46130,46038,44.91460,1.84220,1468,46
BRETEUIL,27160,27112,48.82390,0.89010,4282,27
BRETEUIL,60120,60104,49.63600,2.28740,4222,60
BRETHEL,61270,61060,48.71670,0.54260,133,61
BRETHENAY,52000,52072,48.15850,5.13990,399,52
BRETIGNEY,25250,25093,47.48670,6.63540,74,25
BRETIGNEY NOTRE DAME,25110,25094,47.30850,6.30370,118,25
